Title,Price,M.R.P
Apple iPhone 15 (128 GB) - Black,"₹70,499","₹79,900"
Apple iPhone 15 Plus (128 GB) - Blue,"₹79,999","₹89,900"
Apple iPhone 15 (128 GB) - Black,"₹70,499","₹79,900"
Apple iPhone 15 (128 GB) - Blue,"₹70,499","₹79,900"
Apple iPhone 15 (128 GB) - Green,"₹69,999","₹79,900"
Apple iPhone 15 (128 GB) - Blue,"₹70,499","₹79,900"
Apple iPhone 15 (128 GB) - Pink,"₹71,290","₹79,900"
Apple iPhone 15 (256 GB) - Green,"₹80,600","₹89,900"
Apple iPhone 15 (256 GB) - Black,"₹71,290","₹79,900"
Apple iPhone 15 (128 GB) - Yellow,"₹1,00,600","₹1,09,900"
Apple iPhone 15 (512 GB) - Pink,"₹1,28,200","₹1,34,900"
Apple iPhone 15 Pro (128 GB) - Natural Titanium,"₹1,00,600","₹1,09,900"
Apple iPhone 15 (512 GB) - Yellow,"₹1,43,999","₹1,59,900"
Apple iPhone 15 Pro Max (256 GB) - Natural Titanium,"₹79,999","₹89,900"
Apple iPhone 15 Plus (128 GB) - Blue,"₹79,999","₹89,900"
Apple iPhone 15 Plus (128 GB) - Black,"₹92,600","₹99,900"
Apple iPhone 15 Plus (128 GB) - Pink,"₹92,600","₹99,600"
Apple iPhone 14 (512 GB) - Starlight,"₹69,998","₹79,999"
Apple iPhone 14 (512 GB) - Purple,"₹1,39,998","₹1,49,999"
"Xiaomi 14 (White, 12GB RAM, 512GB Storage) | 50MP Leica Professional Optics | 120 Hz 1.5K LTPO AMOLED | SD 8 Gen 3 Hyper OS","₹1,28,200","₹1,34,900"
"Oneplus Open (Emerald Dusk, 16GB RAM, 512GB Storage)",N/A,N/A
Apple iPhone 15 Pro (128 GB) - Black Titanium,N/A,N/A
